name	genre	type	episodes	rating
Honoo no Toukyuuji: Dodge Danpei	Comedy, Sports	TV	47	7.51
Kantai Collection: KanColle	Action, Military, School, Sci-Fi, Slice of Life	TV	12	7.04
Lupin III: Seven Days Rhapsody	Action, Adventure, Comedy, Shounen	Special	1	7.2
Yume no Crayon Oukoku	Adventure, Comedy, Fantasy, Shoujo	TV	70	7.12
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!	Action, Adventure, Martial Arts, Shounen, Super Power	Movie	1	7.27
Tsurikichi Sanpei	Adventure, Sports	TV	109	7.17
Daisuki! BuBu ChaCha	Kids	TV	26	7.26
Dae Jang Geum: Jang Geum&#039;s Dream	Adventure, Comedy, Historical	TV	26	7.24
Wagaya no Oinari-sama.	Adventure, Fantasy, Shounen, Supernatural	TV	24	7.31
Pokemon Diamond &amp; Pearl Specials	Action, Comedy, Fantasy, Kids	Special	2	7.17
Mahoromatic: Automatic Maiden	Comedy, Ecchi, Military, Romance, Sci-Fi	TV	12	7.29
Mushibugyou	Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power	TV	26	7.47
Kimi ga Nozomu Eien	Drama, Romance, Slice of Life	TV	14	7.41
Shakugan no Shana Movie Special	Adventure, Comedy, Fantasy, Parody	Special	1	7.25
Towa no Quon 3: Mugen no Renza	Action, Super Power, Supernatural	Movie	1	7.64
Kimagure Orange Road	Comedy, Drama, Romance, School, Shounen, Slice of Life, Super Power	TV	48	7.7
Precure All Stars Movie DX2: Kibou no Hikari Rainbow Jewel wo Mamore!	Action, Fantasy, Magic, Shoujo	Movie	1	7.28
Anyamal Tantei Kiruminzoo	Comedy, Magic, Shoujo	TV	50	7.16
Saibi	Drama, Psychological, Thriller	Movie	1	7.08
Slayers Try	Adventure, Comedy, Demons, Fantasy, Magic, Shounen	TV	26	7.93
God Eater	Action, Fantasy, Military, Sci-Fi	TV	13	7.55
Nobunaga Concerto	Historical, Romance, Shounen	TV	10	7.79
Mahoutsukai Precure!	Action, Fantasy, Magic, School, Shoujo, Slice of Life	TV	48	7.04
Sekaiichi Hatsukoi: Valentine-hen	Comedy, Romance, Shounen Ai	Movie	1	8.14
Aldnoah.Zero Extra Archives	Action, Mecha, Sci-Fi	Special	1	7.01
Maji de Watashi ni Koi Shinasai!	Comedy, Ecchi, Harem, Martial Arts, Romance, School, Super Power	TV	12	7.02
1000-nen Joou: Queen Millennia	Adventure, Drama, Fantasy, Sci-Fi	Movie	1	7.02
Bosco Daibouken	Adventure, Fantasy, Kids	TV	26	7.24
Mobile Suit Gundam Wing	Action, Drama, Mecha, Military, Sci-Fi, Space	TV	49	7.87
Saint Seiya: Kamigami no Atsuki Tatakai	Adventure, Sci-Fi, Shounen	Movie	1	7.13
Zettai Karen Children	Action, Comedy, Shounen, Supernatural	TV	51	7.47
Gegege no Kitarou (2007)	Comedy, Fantasy, Horror	TV	100	7.07
Uchuu no Stellvia	Action, Romance, Sci-Fi, Space	TV	26	7.49
Heartcatch Precure!	Action, Comedy, Fantasy, Magic, School, Shoujo, Slice of Life	TV	49	7.89
Pokemon Diamond &amp; Pearl	Action, Adventure, Comedy, Fantasy, Kids	TV	191	7.23
Nichijou	Comedy, School, Slice of Life	TV	26	8.52
Tanaka-kun wa Itsumo Kedaruge	Comedy, School, Slice of Life	TV	12	8.1
Durarara!!x2 Shou	Action, Mystery, Supernatural	TV	12	8.15
Prince of Tennis: The Two Samurai, The First Game	Action, Shounen, Sports	Movie	1	7.47
Heroic Age	Action, Mecha, Military, Sci-Fi, Space	TV	26	7.66
Level E	Comedy, Sci-Fi, Shounen	TV	13	7.58
Jinrui wa Suitai Shimashita	Comedy, Fantasy, Seinen	TV	12	7.92
Kaguya-hime	Historical, Kids	Movie	1	7.22
Doraemon Movie 10: Nobita no Nippon Tanjou	Adventure, Comedy, Fantasy, Kids, Shounen	Movie	1	7.33
Angel Beats!	Action, Comedy, Drama, School, Supernatural	TV	13	8.39
Romeo no Aoi Sora	Adventure, Drama, Historical, Slice of Life	TV	33	8.47
Boku no Hero Academia: Jump Festa 2016 Special	Action, Comedy, School, Shounen, Super Power	Special	1	7.32
Taiho Shichau zo (1996)	Action, Comedy, Police, Seinen	TV	47	7.59
Mahoromatic End Year Special	Comedy, Ecchi, Military, Romance, Sci-Fi	Special	1	7.07
Hokuto no Ken Zero: Kenshirou Den	Martial Arts	Movie	1	7.55
Doraemon Movie 26: Nobita no Kyouryuu 2006	Adventure, Comedy, Kids	Movie	1	7.56
Gintama #039;: Enchousen	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	13	9.11
Hello! Sandybell	Adventure, Romance, Shoujo	TV	47	7.15
Rurouni Kenshin Special	Action, Historical, Romance, Samurai	Special	1	7.51
One Outs	Psychological, Seinen, Sports	TV	25	8.41
Kishin Taisen Gigantic Formula	Mecha, Sci-Fi	TV	26	7
Kodomo no Omocha (TV)	Comedy, Drama, Romance, Shoujo	TV	102	8.18
Hoozuki no Reitetsu	Comedy, Fantasy, Supernatural	TV	13	7.84
TaoTao Ehonkan Sekai Doubutsu Banashi	Adventure, Comedy, Fantasy, Kids	TV	52	7.02
Hello!! Kiniro Mosaic	Comedy, School, Slice of Life	TV	12	7.63
Towa no Quon 4: Guren no Shoushin	Action, Super Power, Supernatural	Movie	1	7.76
Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!	Comedy	Movie	1	7.37
Date A Live II	Comedy, Harem, Mecha, Romance, School, Sci-Fi	TV	10	7.5
Bartender	Drama, Seinen, Slice of Life	TV	11	7.5
Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen	Drama, Romance, School	Special	1	8.02
Azumanga Daioh: Gekijou Tanpen	Comedy, School, Slice of Life	Special	1	7.11
Flanders no Inu (Movie)	Drama, Historical	Movie	1	8.05
Mai-HiME	Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai	TV	26	7.59
Yu Gi Oh! 5D&#039;s: Shinkasuru Kettou! Stardust vs. Red Demon&#039;s	Fantasy, Game, Sci-Fi	Special	1	7.12
Tetsuwan Birdy Decode:02	Action, Comedy, Sci-Fi	TV	12	7.83
Mahou Shoujo Madoka..Magica Movie 2: Eien no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.49
Black Blood Brothers	Action, Comedy, Fantasy, Shounen, Supernatural, Vampire	TV	12	7.28
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi	Action, Kids, Magic, Shoujo	Movie	1	7.3
Virtua Fighter	Action, Adventure, Comedy, Martial Arts, Shounen	TV	35	7.13
Tenshi na Konamaiki	Comedy, Magic, Romance, Shounen	TV	50	7.6
Kuragehime	Comedy, Josei, Slice of Life	TV	11	8.24
Eureka Seven: Navigation ray=out	Mecha, Sci-Fi	Special	1	7.08
New Prince of Tennis Specials	Action, Comedy, Shounen, Sports	Special	7	7.65
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	Drama, Slice of Life, Supernatural	TV	11	8.62
Stranger: Mukou Hadan	Action, Adventure, Historical, Samurai	Movie	1	8.43
Shounen Onmyouji	Action, Demons, Fantasy, Historical, Magic, Shoujo, Supernatural	TV	26	7.71
Higurashi no Naku Koro ni Kai	Mystery, Psychological, Supernatural, Thriller	TV	24	8.41
Tobe! Isami	Action, Adventure, Comedy, Romance, Shounen	TV	50	7.43
Ai Yori Aoshi	Comedy, Drama, Harem, Romance, Slice of Life	TV	24	7.24
Overlord: Ple Ple Pleiades	Action, Comedy, Fantasy, Magic	Special	8	7.07
Final Fantasy VII: Advent Children	Action, Fantasy, Super Power	Movie	1	7.94
Darker than Black: Kuro no Keiyakusha	Action, Mystery, Sci-Fi, Super Power	TV	25	8.25
Zettai Muteki Raijin-Oh	Adventure, Mecha, School, Sci-Fi, Shounen	TV	51	7.06
Eve no Jikan	Sci-Fi, Slice of Life	ONA	6	8.26
Toaru Majutsu no Index: Endymion no Kiseki Special	Action, Magic, Sci-Fi, Super Power	Special	1	7.2
Hai to Gensou no Grimgar	Action, Adventure, Drama, Fantasy	TV	12	7.87
R.O.D the TV	Action, Adventure, Comedy, Drama, Sci-Fi, Super Power	TV	26	7.64
Lupin III: Walther P-38	Action, Adventure, Comedy, Mystery, Shounen	Special	1	7.47
Yakitate!! Japan	Comedy, Shounen	TV	69	8.05
Higurashi no Naku Koro ni	Horror, Mystery, Psychological, Supernatural, Thriller	TV	26	8.17
Persona 5 the Animation: The Day Breakers	Action, Fantasy, Seinen, Supernatural	Special	1	7.27
RD Sennou Chousashitsu	Action, Sci-Fi	TV	26	7.24
One Piece Movie 5: Norowareta Seiken	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Movie	1	7.44
Astro Boy: Tetsuwan Atom	Action, Adventure, Kids, Mecha, Sci-Fi, Shounen, Super Power	TV	50	7.02
The Third: Aoi Hitomi no Shoujo	Action, Adventure, Sci-Fi, Seinen	TV	24	7.4
Pokemon Diamond &amp; Pearl: Giratina to Sora no Hanataba Sheimi	Action, Adventure, Fantasy, Kids	Movie	1	7.1
Tesagure! Bukatsumono Encore	Parody, School, Slice of Life	TV	12	7
Ashita no Joe 2 (Movie)	Drama, Sports	Movie	1	7.53
Doraemon Movie 06: Nobita no Little Star Wars	Fantasy, Space	Movie	1	7.2
Shirobako	Comedy, Drama	TV	24	8.49
Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai	Adventure, Comedy, Fantasy, Kids	Movie	1	7.42
Kamisama no Memochou	Mystery	TV	12	7.7
Phantom: Requiem for the Phantom	Action, Drama, Seinen, Thriller	TV	26	8.16
Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary	Comedy	Special	16	7.16
Sakigake!! Otokojuku	Action, Comedy, Martial Arts, School, Shounen	TV	34	7.51
Gantz	Action, Drama, Horror, Psychological, Sci-Fi, Supernatural	TV	13	7.27
Musekinin Kanchou Tylor	Comedy, Military, Parody, Sci-Fi, Space	TV	26	7.97
Steins;Gate Movie: Fuka Ryouiki no Daj  vu	Sci-Fi, Thriller	Movie	1	8.61
Rental Magica	Fantasy, Mystery, Supernatural	TV	24	7.18
Peach Girl	Drama, Romance, Shoujo, Slice of Life	TV	25	7.16
Tenjou-jin to Akuto-jin Saigo no Tatakai	Action, Fantasy, Magic, Super Power, Supernatural	Movie	1	7.3
Yowamushi Pedal Movie	Comedy, Drama, Shounen, Sports	Movie	1	7.84
Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou	Comedy, Parody	Special	4	7.66
Stranger: Mukou Hadan Pilot	Action, Adventure, Historical, Samurai, Seinen	Special	1	7.05
Bleach Movie 4: Jigoku-hen	Action, Comedy, Shounen, Super Power, Supernatural	Movie	1	7.75
Ao no Exorcist: Ura Ex	Action, Fantasy, Shounen, Supernatural	Special	10	7.26
Ibara no Ou	Action, Mystery, Sci-Fi, Thriller	Movie	1	7.24
Mashin Eiyuuden Wataru	Adventure, Comedy, Mecha, Sci-Fi, Shounen	TV	45	7.11
Cheonnyeon-yeowoo Yeowoobi	Drama, Fantasy, Sci-Fi	Movie	1	7.42
Hataraku Maou-sama!	Comedy, Demons, Fantasy, Romance, Shounen	TV	13	8.03
Yomigaeru Sora: Rescue Wings	Drama, Military, Seinen	TV	12	7.53
There She Is!!	Comedy, Romance	ONA	5	8.11
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima	Adventure, Comedy, Fantasy, Shounen	Movie	1	7.77
Croket!	Action, Adventure, Comedy, Fantasy	TV	52	7.12
Fw:Hamatora	Comedy, Mystery, Super Power	Movie	1	7.2
Mobile Suit Gundam Seed Destiny Special Edition	Action, Drama, Mecha, Military, Romance, Sci-Fi, Space	Special	4	7.42
Air Master	Action, Comedy, Martial Arts, Seinen	TV	27	7.14
Kyoukai no Rinne (TV) 2nd Season	Comedy, Romance, School, Shounen, Supernatural	TV	25	7.26
Hetalia Axis Powers	Comedy, Historical, Parody	ONA	52	7.76
Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa	Adventure, Sci-Fi, Shounen	Special	2	7.93
Suzumiya Haruhi no Yuuutsu	Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life	TV	14	8.06
Durarara!! Specials	Action, Comedy, Supernatural	Special	2	8.04
Thermae Romae	Comedy, Historical, Seinen	TV	3	7.13
Yoake Mae yori Ruriiro na: Crescent Love	Comedy, Romance, School, Sci-Fi	TV	12	7.22
Madou King Granzort	Action, Comedy, Fantasy, Magic, Mecha, Sci-Fi, Shounen	TV	41	7.31
Jormungand	Action, Adventure, Seinen	TV	12	7.96
Shugo Chara!! Doki	Comedy, Magic, School, Shoujo	TV	51	7.59
Higurashi no Naku Koro ni Kai Specials	Comedy, Parody	Special	24	7.46
Date A Live Movie: Mayuri Judgment	Harem, Romance, Sci-Fi	Movie	1	7.56
CLAMP Gakuen Tanteidan	Action, Comedy, Mystery	TV	26	7.05
Sayonara Zetsubou Sensei	Comedy, Parody, School	TV	12	8.03
Yes! Precure 5	Action, Fantasy, Magic, School, Shoujo	TV	49	7.3
Persona 4 the Animation	Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural	TV	25	7.68
Masuda Kousuke Gekijou Gag Manga Biyori 2	Comedy	TV	12	7.55
Dragon Ball	Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power	TV	153	8.16
Seiken Tsukai no World Break	Action, Fantasy, Harem, Romance, School, Supernatural	TV	12	7.16
D.C.S.S: Da Capo Second Season	Comedy, Drama, Harem, Romance, Supernatural	TV	26	7.15
Fate/Zero Remix	Action, Fantasy, Supernatural	Special	2	7.26
Shakugan no Shana Specials	Comedy, Parody	Special	4	7.22
Pandane to Tamago-hime	Adventure, Fantasy	Movie	1	7.13
Kindaichi Shounen no Jikenbo Returns 2nd Season	Mystery, Shounen	TV	22	7.5
Ai no Senshi Rainbowman	Action, Adventure, Mecha, Sci-Fi	TV	22	7.05
Macademi Wasshoi!	Comedy, Ecchi, Fantasy, Romance, School, Supernatural	TV	12	7.09
Gosick Recap	Historical, Mystery, Shounen	Special	1	7.11
Kaibutsu Oujo	Action, Comedy, Horror, Shounen, Supernatural, Vampire	TV	25	7.16
Shiki	Mystery, Supernatural, Thriller, Vampire	TV	22	7.99
Gakkougurashi!	Horror, Mystery, Psychological, School, Slice of Life	TV	12	7.71
Kimikiss Pure Rouge Special	Romance, School	Special	1	7.07
Ro-Kyu-Bu!	Comedy, Ecchi, School, Sports	TV	12	7.05
Kyoukaisenjou no Horizon II	Action, Fantasy, Sci-Fi	TV	13	7.72
Air Gear	Action, Comedy, Ecchi, Shounen, Sports	TV	25	7.69
Tiger &amp; Bunny Movie 1: The Beginning	Action, Comedy, Mystery, Super Power	Movie	1	7.54
Yojouhan Shinwa Taikei	Mystery, Psychological, Romance	TV	11	8.65
Chrno Crusade	Action, Demons, Historical, Romance, Supernatural	TV	24	7.8
GetBackers	Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural	TV	49	7.73
All Out!!	School, Seinen, Sports	TV	25	7.16
Karneval Specials	Comedy	Special	11	7.13
Kanon (2006)	Drama, Romance, Slice of Life, Supernatural	TV	24	8.17
Devil Survivor 2 The Animation	Action, Demons, Supernatural	TV	13	7.06
Kagaku Ninja-tai Gatchaman	Action, Adventure, Sci-Fi, Shounen	TV	105	7.1
Brave Story	Action, Adventure, Fantasy, Kids, Magic, Supernatural	Movie	1	7.58
Chuunibyou demo Koi ga Shitai! Ren Specials	Comedy	Special	7	7.17
Love Hina Christmas Special: Silent Eve	Comedy, Romance, Slice of Life	Special	1	7.44
Ore no Kanojo to Osananajimi ga Shuraba Sugiru	Comedy, Harem, Romance, School	TV	13	7.32
Ghost in the Shell: Arise - Alternative Architecture	Mecha, Police, Psychological, Sci-Fi	TV	10	7.33
Sora no Otoshimono	Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural	TV	13	7.68
Amagami SS+ Plus	Comedy, Romance, School, Slice of Life	TV	13	7.61
Nasu: Andalusia no Natsu	Action, Seinen, Sports	Movie	1	7.16
Kingdom 2nd Season	Action, Historical, Military, Seinen	TV	39	8.57
Ghost Sweeper GS Mikami	Comedy, Supernatural	TV	45	7.27
Space Dandy 2nd Season	Comedy, Sci-Fi, Space	TV	13	8.27
Doraemon	Adventure, Comedy, Fantasy, Kids, Shounen	TV	26	7.49
Iron Kid	Action, Adventure, Comedy, Sci-Fi	TV	26	7.03
Digimon Adventure 02: Diablomon no Gyakushuu	Adventure, Comedy, Drama, Kids, Sci-Fi	Movie	1	7.4
Doraemon Movie 23: Nobita to Robot Kingdom	Adventure, Comedy, Fantasy, Kids, Shounen	Movie	1	7.33
gdgd Fairies 2	Comedy, Fantasy	TV	12	7.13
Death Note Rewrite	Mystery, Police, Psychological, Supernatural, Thriller	Special	2	7.84
Robotics;Notes	Drama, Mystery, School, Sci-Fi	TV	22	7.43
Dog Days&#039;	Action, Adventure, Fantasy, Magic	TV	13	7.32
Darker than Black: Kuro no Keiyakusha Special	Comedy, Parody, Sci-Fi	Special	1	7.65
Hakuouki Movie 2: Shikon Soukyuu	Action, Drama, Historical, Josei, Samurai, Supernatural	Movie	1	8.03
Yomigaeru Sora: Rescue Wings Special	Drama, Military, Seinen	Special	1	7.08
Shashinkan	Drama, Historical, Slice of Life	Movie	1	7.57
Hidamari Sketch x 365	Comedy, School, Slice of Life	TV	13	7.9
Kawa no Hikari	Adventure, Kids	Special	1	7.11
Bokura ga Ita	Drama, Romance, Shoujo, Slice of Life	TV	26	7.54
Seikai no Monshou Special	Action, Military, Romance, Sci-Fi, Space	Special	1	7.42
Kore wa Zombie Desu ka?	Action, Comedy, Ecchi, Harem, Magic, Supernatural	TV	12	7.67
Fullmetal Alchemist: Brotherhood	Action, Adventure, Drama, Fantasy, Magic, Military, Shounen	TV	64	9.26
Gankutsuou	Drama, Mystery, Sci-Fi, Supernatural, Thriller	TV	24	8.27
Evangelion: 1.0 You Are (Not) Alone	Action, Mecha, Sci-Fi	Movie	1	8.21
Beet the Vandel Buster	Adventure, Fantasy, Shounen, Supernatural	TV	52	7.06
Naruto SD: Rock Lee no Seishun Full-Power Ninden	Action, Comedy, Parody	TV	51	7.26
Live On Cardliver Kakeru	Fantasy, Game	TV	51	7.05
Rec: Yurusarezarumono	Comedy, Drama, Romance	Special	1	7.3
Shounen Maid	Comedy, Shoujo, Slice of Life	TV	12	7.43
Air in Summer	Comedy, Drama, Historical, Romance, Supernatural	Special	2	7.47
Ben-To	Action, Comedy, Martial Arts	TV	12	7.49
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi	Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Movie	1	7.09
X	Action, Drama, Fantasy, Magic, Romance, Shoujo, Super Power	TV	24	7.56
Mazinger Z	Action, Drama, Mecha, Sci-Fi, Shounen	TV	92	7.49
Shingeki no Kyojin Movie 1: Guren no Yumiya	Action, Drama, Fantasy, Shounen, Super Power	Movie	1	7.7
Yawara!	Action, Comedy, Drama, Martial Arts, Romance, Slice of Life, Sports	TV	124	7.63
Re:Hamatora	Comedy, Mystery, Super Power	TV	12	7.48
Speed Grapher	Action, Mystery, Super Power	TV	24	7.46
Yuru Yuri	Comedy, School, Shoujo Ai, Slice of Life	TV	12	7.7
Gintama	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	51	9.25
Doraemon Movie 12: Nobita no Dorabian Nights	Adventure, Comedy, Fantasy, Kids, Shounen	Movie	1	7.37
Amanchu!	Comedy, School, Shounen, Slice of Life	TV	12	7.45
Tongari Boushi no Memole	Fantasy, Magic, Shoujo	TV	50	7.11
Ajin	Action, Horror, Mystery, Seinen, Supernatural	TV	13	7.78
Soukyuu no Fafner: Right of Left - Single Program	Action, Drama, Mecha, Military, Sci-Fi	Special	1	7.49
Monster	Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller	TV	74	8.72
Cardfight!! Vanguard: Legion Mate-hen	Action, Adventure, Demons, Game, Shounen	TV	33	7.08
Vandread: The Second Stage	Action, Ecchi, Mecha, Sci-Fi, Shounen, Space	TV	13	7.54
Himouto! Umaru-chan	Comedy, School, Seinen, Slice of Life	TV	12	7.55
Sekai Meisaku Douwa: Hakuchou no Ouji	Fantasy	Movie	1	7.09
Onmyou Taisenki	Adventure, Fantasy, Shounen, Supernatural	TV	52	7.28
Ouran Koukou Host Club	Comedy, Harem, Romance, School, Shoujo	TV	26	8.39
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki	Comedy, Ecchi, Kids, School, Shounen, Slice of Life	Movie	1	7.29
Great Teacher Onizuka	Comedy, Drama, School, Shounen, Slice of Life	TV	43	8.77
Doraemon: Obaachan no Omoide	Comedy, Fantasy, Kids, Sci-Fi, Shounen	Movie	1	7.44
Hachimitsu to Clover	Comedy, Drama, Josei, Romance	TV	24	8.18
Ashita no Joe (Movie)	Action, Drama, Sports	Movie	1	7.32
Trapp Ikka Monogatari	Drama, Historical, Music, Romance	TV	40	7.75
Ao no Exorcist Movie Special	Comedy, Parody	Special	1	7.34
Precure All Stars Movie DX: Minna Tomodachi Kiseki no Zenin Daishuugou!	Action, Fantasy, Magic, Shoujo	Movie	1	7.41
Sei Juushi Bismarck	Action, Mecha, Sci-Fi, Space	TV	51	7.34
Saishuu Heiki Kanojo	Drama, Romance, School, Sci-Fi	TV	13	7.31
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai	Comedy, Drama, Romance, Shounen Ai	Movie	1	8.2
Detective Conan Movie 20: The Darkest Nightmare	Action, Mystery, Police, Shounen	Movie	1	8.32
One More Time, One More Chance	Drama, Music, Romance, Slice of Life	Music	1	7.6
Turn A Gundam	Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space	TV	50	7.76
Unico	Adventure, Fantasy, Kids	Movie	1	7.43
Evangelion: 3.0 You Can (Not) Redo	Action, Mecha, Sci-Fi	Movie	1	7.71
Digimon Adventure tri. 2: Ketsui	Action, Adventure, Comedy, Drama	Movie	1	7.77
Tanaka-kun wa Itsumo Kedaruge Specials	Comedy, School, Slice of Life	Special	Unknown	7.72
Patapata Hikousen no Bouken	Adventure, Sci-Fi	TV	26	7.59
Rockman.EXE Axess	Action, Adventure, Comedy, Game, Mecha, Sci-Fi, Shounen	TV	51	7.29
Sasameki Koto	Comedy, Romance, School, Shoujo Ai	TV	13	7.21
Furusato Saisei: Nihon no Mukashibanashi	Historical, Kids, Supernatural	TV	Unknown	7.09
Chobits Recap	Comedy, Drama, Ecchi, Romance, Sci-Fi	Special	1	7.09
Mameshiba	Comedy	Special	24	7.33
Kindaichi Shounen no Jikenbo Specials	Mystery, Shounen	Special	2	7.35
Densetsu Kyojin Ideon: Hatsudou-hen	Drama, Mecha, Sci-Fi, Space	Movie	1	7.9
Battle Spirits: Sword Eyes	Action, Shounen	TV	29	7.09
Musashi no Ken	Shounen, Sports	TV	72	7.4
Mobile Police Patlabor: The Movie	Drama, Mecha, Military, Police	Movie	1	7.59
Mousou Dairinin	Drama, Mystery, Police, Psychological, Supernatural, Thriller	TV	13	7.74
Sansha Sanyou	Comedy, School, Slice of Life	TV	12	7.23
Hellsing: The Dawn	Action, Horror, Seinen, Supernatural, Vampire	Special	3	7.37
Zettai Shounen	Drama, Fantasy, Mystery, Sci-Fi, Shounen	TV	26	7.06
Mahoromatic: I&#039;m Home!	Comedy, Ecchi, Romance, Sci-Fi	Special	2	7.18
Pokemon: Celebi Toki wo Koeta Deai	Adventure, Comedy, Drama, Fantasy, Kids	Movie	1	7.05
Space Adventure Cobra	Action, Adventure, Sci-Fi, Space	Movie	1	7.2
Saikyou Bushouden: Sangoku Engi	Historical	TV	52	7.07
Kizumonogatari II: Nekketsu-hen	Action, Mystery, Supernatural, Vampire	Movie	1	8.73
Kamigami no Asobi	Fantasy, Harem, Romance, Shoujo, Supernatural	TV	12	7.32
Paradise Kiss	Comedy, Drama, Josei, Romance, Slice of Life	TV	12	7.93
Devil May Cry	Action, Demons, Fantasy	TV	12	7.15
Rockman.EXE Beast+	Action, Adventure, Game, Mecha, Sci-Fi, Shounen	TV	26	7.11
Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview	Comedy	Special	3	7.59
Suzumiya Haruhi no Yuuutsu (2009)	Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life	TV	14	7.28
Touch: Sebangou no Nai Ace	Drama, Romance, Sports	Movie	1	7.08
Kirarin Revolution	Comedy, Drama, Romance, Shoujo	TV	153	7.35
YAT Anshin! Uchuu Ryokou	Adventure, Comedy, Sci-Fi, Shounen	TV	50	7.24
Tsurupika Hagemaru-kun	Comedy, Kids	TV	59	7
Hachimitsu to Clover Specials	Comedy, Drama, Josei, Romance, Slice of Life	Special	2	7.85
Classroom Crisis	School, Sci-Fi	TV	13	7.16
Dae Jang Geum: Jang Geum&#039;s Dream 2	Adventure, Comedy, Historical	TV	26	7.11
Mokke Specials	Mystery, Slice of Life, Supernatural	Special	2	7.09
Kumo no Mukou, Yakusoku no Basho	Drama, Military, Romance, Sci-Fi	Movie	1	7.89
Hunter x Hunter (2011)	Action, Adventure, Shounen, Super Power	TV	148	9.13
Mai-HiME Specials	Comedy	Special	27	7.06
K: Return of Kings	Action, Super Power, Supernatural	TV	13	7.82
Princess Nine: Kisaragi Joshikou Yakyuubu	Drama, Romance, Sports	TV	26	7.33
11-nin Iru!	Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space	Movie	1	7.33
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi	Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power	Special	1	7.78
Steins;Gate: Soumei Eichi no Cognitive Computing	Comedy	ONA	4	7.45
Princess Lover!	Comedy, Ecchi, Harem, School	TV	12	7.03
Slayers Next	Adventure, Comedy, Demons, Fantasy, Magic	TV	26	8.14
Amagami SS	Comedy, Romance, School, Slice of Life	TV	25	7.57
Majutsushi Orphen	Action, Adventure, Comedy, Demons, Fantasy, Magic	TV	24	7.3
World Destruction: Sekai Bokumetsu no Rokunin	Adventure, Fantasy	TV	13	7.1
Hakuouki Hekketsuroku	Action, Drama, Historical, Josei, Samurai, Supernatural	TV	10	7.76
Muumindani no Suisei	Adventure, Comedy, Fantasy, Kids	Movie	1	7.74
Donten ni Warau	Action, Historical, Shoujo	TV	12	7.62
Kimi ga Aruji de Shitsuji ga Ore de	Comedy, Ecchi, Harem, Parody, Romance	TV	13	7.35
Sirius no Densetsu	Drama, Fantasy, Romance	Movie	1	7.01
Kimi ni Todoke	Romance, School, Shoujo, Slice of Life	TV	25	8.19
Tenchi Muyou! Ryououki 2nd Season Picture Drama	Comedy, Sci-Fi, Shounen, Space	Special	1	7.18
Acchi Kocchi (TV)	Comedy, Romance, School, Seinen, Slice of Life	TV	12	7.65
Dirty Pair: The Movie	Adventure, Comedy, Police, Sci-Fi	Movie	1	7.19
Sola Specials	Comedy, Romance, Slice of Life, Supernatural	Special	2	7.06
Accel World	Action, Game, Romance, School, Sci-Fi	TV	24	7.62
Durarara!!x2 Ten: Onoroke Chakapoko	Action, Mystery, Supernatural	Special	1	7.66
One Piece Movie 4: Dead End no Bouken	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Movie	1	7.76
Hanamonogatari	Comedy, Mystery, Supernatural	TV	5	8.11
PopoloCrois	Adventure, Fantasy	TV	26	7.2
Little Busters!	Comedy, Drama, School, Slice of Life, Supernatural	TV	26	7.64
Schwarzesmarken	Action, Drama, Historical, Mecha, Military, Sci-Fi	TV	12	7
Oruchuban Ebichu	Comedy, Ecchi, Seinen	TV	24	7.52
